model,true_class,margin
MLP,1,0.478515625
MLP,1,2.294921875
MLP,1,1.46484375
MLP,1,2.060546875
MLP,1,5.0
MLP,1,2.890625
MLP,1,1.162109375
MLP,1,0.05859375
MLP,1,0.478515625
MLP,1,1.025390625
MLP,1,0.458984375
MLP,1,5.0
MLP,1,2.724609375
MLP,1,4.677734375
MLP,1,0.830078125
MLP,1,0.224609375
MLP,1,1.416015625
MLP,1,0.751953125
MLP,1,1.34765625
MLP,1,0.3515625
MLP,1,2.36328125
MLP,1,4.560546875
MLP,1,1.162109375
MLP,1,1.025390625
MLP,1,2.03125
MLP,1,0.107421875
MLP,1,2.421875
MLP,1,0.380859375
MLP,1,1.23046875
MLP,1,1.50390625
MLP,1,2.353515625
MLP,1,0.771484375
MLP,1,2.265625
MLP,1,1.8359375
MLP,1,1.123046875
MLP,1,1.767578125
MLP,1,2.451171875
MLP,1,0.400390625
MLP,1,0.634765625
MLP,1,1.23046875
MLP,1,1.62109375
MLP,1,2.041015625
RF,0,0.05859375
RF,0,0.09765625
RF,0,0.33203125
RF,0,1.708984375
RF,0,4.833984375
RF,0,1.181640625
RF,0,2.685546875
RF,0,0.52734375
RF,0,1.09375
RF,0,1.34765625
RF,0,5.0
RF,0,0.185546875
RF,0,0.25390625
RF,0,0.869140625
RF,0,0.712890625
RF,0,0.33203125
RF,0,1.015625
RF,0,0.302734375
RF,0,0.5859375
RF,0,0.693359375
RF,0,0.439453125
RF,0,0.48828125
RF,0,0.302734375
RF,0,1.455078125
RF,0,0.64453125
RF,0,1.123046875
RF,0,0.7421875
RF,0,0.283203125
RF,0,0.09765625
RF,0,3.896484375
RF,0,0.01953125
RF,0,0.15625
RF,0,4.51171875
RF,0,0.751953125
RF,0,0.25390625
RF,0,2.294921875
RF,0,1.376953125
RF,0,1.787109375
RF,0,0.341796875
RF,0,0.37109375
RF,0,3.544921875
RF,0,1.4453125
RF,0,1.58203125
RF,1,5.0
RF,1,1.318359375
RF,1,1.669921875
RF,1,1.962890625
RF,1,1.93359375
RF,1,1.123046875
RF,1,1.77734375
RF,1,2.65625
RF,1,2.509765625
RF,1,1.875
RF,1,5.0
RF,1,4.404296875
RF,1,1.337890625
RF,1,0.361328125
RF,1,1.015625
RF,1,0.95703125
RF,1,1.62109375
RF,1,5.0
RF,1,3.515625
RF,1,5.0
RF,1,0.1953125
RF,1,0.1171875
RF,1,2.65625
RF,1,2.138671875
RF,1,0.517578125
RF,1,2.94921875
RF,1,5.0
