dataset,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,oracle_f1_upper_bound
Dataset A (disturbance CSV),0.057,0.0044,0.6417,0.0228,0.1047,0.0077,0.1057
Dataset B (microgrid_synthetic_v1),0.009,0.0091,0.0192,0.02,0.0123,0.0125,0.0158
