scenario,homer_timestamp,homer_AC_load_kW,homer_renewable_penetration_pct,homer_global_solar_kWm2,homer_wind_speed_ms,load_scale_applied,sag_depth_applied,thd_i_pct_before_APF,thd_i_pct_after_APF,thd_v_pct_before_APF,SoH_loss_final_pct,cost_BDT_per_yr_final
Harmonic_Distortion,2007-07-23 18:00:00,478.6128,43.6676,0.04541487,5.493326,2.5,0.05,27.13466417702641,2.0739735751168134,3.791670530055775e-14,1.0545579898907614e-08,1596.3139569213624
Voltage_Sag,2007-11-06 14:00:00,58.29005,79.53659,0.3932358,4.474366,0.6785195040723939,0.5,27.1346641770264,2.0739735751168125,3.8045225956769237e-14,8.958124042887777e-08,13560.16319119243
Combined_Weather_Electrical,2007-06-11 18:00:00,375.7537,70.67289,0.002738295,10.50614,2.5,0.2,27.13466417702641,2.0739735751168134,3.802054049932498e-14,6.365602013846384e-10,96.3579000521566
